scale	1.25366	scale_fit_switch	1	gamma	0.2	gamma_fit_switch	1	sigma	600	sigma_fit_switch	1	substrate-B	1	substrate-B_fit_switch	0																														
AtomIndex	AtmNum	N	d	x	y	z	B	toccf	foccf	7dig_fit_switch	d-index	d-param	d-ratio	x-index	x-param	x-ratio	y-index	y-param	y-ratio	z-index	z-param	z-ratio	B-index	B-param	B-ratio	toccf-index	toccf-param	toccf-ratio	foccf-index	foccf-param	foccf-ratio	d-min	d-max	x-min	x-max	y-min	y-max	z-min	z-max	B-min	B-max	toccf-min	toccf-max	foccf-min	foccf-max
68	8	1	1	0	0.5	9.5	0.4	1	1	1000																65	5	1				0.9	1.1	-1000	1000	-1000	1000	9.3	9.7	0	5	0	1	0	1
69	8	1	1	0.5	0	9.5	0.4	1	1	0										68	3	1				65	5	1				0.9	1.1	-1000	1000	-1000	1000	9.3	9.7	0	5	0	1	0	1
70	38	1	1	0	0	10	0.4	1	0	1010																						0.9	1.1	-1000	1000	-1000	1000	9.8	10.2	0	5	0	1	0	1
71	57	1	1	0	0	10	0.4	1	1	0										70	3	1				70	5	1	70	6	-1	0.9	1.1	-1000	1000	-1000	1000	9.8	10.2	0	5	0	1	0	1
72	22	1	1	0.5	0.5	10.5	0.4	1	0	1010																						0.9	1.1	-1000	1000	-1000	1000	10.3	10.7	0	5	0	1	0	1
73	13	1	1	0.5	0.5	10.5	0.4	1	1	0										72	3	1				72	5	1	72	6	-1	0.9	1.1	-1000	1000	-1000	1000	10.3	10.7	0	5	0	1	0	1
74	8	1	1	0.5	0.5	10	0.4	1	1	1000																70	5	1				0.9	1.1	-1000	1000	-1000	1000	9.8	10.2	0	5	0	1	0	1
75	8	1	1	0	0.5	10.5	0.4	1	1	1000																72	5	1				0.9	1.1	-1000	1000	-1000	1000	10.3	10.7	0	5	0	1	0	1
76	8	1	1	0.5	0	10.5	0.4	1	1	0										75	3	1				72	5	1				0.9	1.1	-1000	1000	-1000	1000	10.3	10.7	0	5	0	1	0	1
77	38	1	1	0	0	11	0.4	0	0	1010																						0.9	1.1	-1000	1000	-1000	1000	10.8	11.2	0	5	0	1	0	1
78	57	1	1	0	0	11	0.4	0	1	0										77	3	1				77	5	1	77	6	-1	0.9	1.1	-1000	1000	-1000	1000	10.8	11.2	0	5	0	1	0	1
79	22	1	1	0.5	0.5	11.5	0.4	0	0	1010																						0.9	1.1	-1000	1000	-1000	1000	11.3	11.7	0	5	0	1	0	1
80	13	1	1	0.5	0.5	11.5	0.4	0	1	0										79	3	1				79	5	1	79	6	-1	0.9	1.1	-1000	1000	-1000	1000	11.3	11.7	0	5	0	1	0	1
81	8	1	1	0.5	0.5	11	0.4	0	1	1000																77	5	1				0.9	1.1	-1000	1000	-1000	1000	10.8	11.2	0	5	0	1	0	1
82	8	1	1	0	0.5	11.5	0.4	0	1	1000																79	5	1				0.9	1.1	-1000	1000	-1000	1000	11.3	11.7	0	5	0	1	0	1
83	8	1	1	0.5	0	11.5	0.4	0	1	0										82	3	1				79	5	1				0.9	1.1	-1000	1000	-1000	1000	11.3	11.7	0	5	0	1	0	1
